forecast_id,valid_date,region_id,region_name,latitude,longitude,lead_time_days,rain_forecast,temp_forecast,mslp_forecast,rh_forecast,wind_forecast,cape_forecast,ensemble_spread,synoptic_regime
FC_0000000,2024-02-01,NE,East & Northeast India,26.13,93.32,3,35.03,24.52,1013.32,52.58,3.24,844.5,16.7,fair_weather
FC_0000001,2024-12-30,NW,Northwest India,29.06,68.29,6,0.0,32.01,1003.14,45.04,6.09,771.9,9.52,post_monsoon
FC_0000002,2023-05-11,NE,East & Northeast India,28.91,96.39,6,4.19,30.76,1009.39,63.47,0.94,688.5,9.38,pre_monsoon
FC_0000003,2024-07-18,NW,Northwest India,36.34,77.44,1,11.75,30.35,1008.44,43.34,5.54,1066.0,3.69,normal_monsoon
FC_0000004,2024-02-05,NW,Northwest India,34.6,74.85,4,40.98,13.13,1007.05,71.99,7.65,443.3,20.07,western_disturbance
FC_0000005,2024-01-01,CI,Central India,24.76,80.01,1,0.59,30.24,1012.42,48.98,6.3,1004.0,3.36,fair_weather
FC_0000006,2023-11-11,WG,Western Ghats & West Coast,9.61,74.26,7,26.09,32.88,1012.91,64.44,6.8,1787.0,13.68,post_monsoon
FC_0000007,2021-05-02,EC,Bay of Bengal & East Coast,21.68,83.16,7,165.38,24.45,991.82,95.26,45.87,3942.4,13.98,cyclone
FC_0000008,2022-04-12,NW,Northwest India,35.28,68.93,6,0.0,22.31,999.75,61.83,8.36,2046.8,29.36,pre_monsoon
FC_0000009,2024-05-23,SP,Southern Peninsula,10.67,76.93,2,13.52,27.49,1006.86,55.38,7.38,829.9,6.41,pre_monsoon
FC_0000010,2021-11-27,WG,Western Ghats & West Coast,8.62,73.04,4,3.25,20.03,1011.56,73.09,5.81,862.9,9.1,post_monsoon
FC_0000011,2021-03-29,EC,Bay of Bengal & East Coast,13.12,87.54,3,35.72,29.34,1015.97,63.12,3.42,727.2,5.7,fair_weather
FC_0000012,2024-10-28,SP,Southern Peninsula,8.51,76.64,8,5.97,25.63,1010.44,45.47,10.73,626.2,14.8,post_monsoon
FC_0000013,2024-01-29,NE,East & Northeast India,21.09,93.35,2,4.17,33.24,1012.66,72.22,8.66,793.1,5.53,fair_weather
FC_0000014,2023-05-22,WG,Western Ghats & West Coast,15.44,75.4,10,0.0,31.75,1001.3,89.63,0.5,50.0,14.12,pre_monsoon
FC_0000015,2021-05-11,SP,Southern Peninsula,11.0,76.15,2,10.15,34.1,1007.36,70.48,5.06,398.5,5.48,pre_monsoon
FC_0000016,2024-08-25,WG,Western Ghats & West Coast,16.64,76.15,1,22.64,29.66,1001.71,98.62,18.43,1792.0,5.11,heavy_rainfall
FC_0000017,2023-02-09,WG,Western Ghats & West Coast,9.66,74.69,9,5.94,24.73,1011.96,100.0,7.36,702.4,13.58,fair_weather
FC_0000018,2021-12-10,NE,East & Northeast India,23.11,87.02,3,4.9,28.53,1006.97,45.17,7.45,1341.3,7.52,post_monsoon
FC_0000019,2024-12-08,NE,East & Northeast India,27.24,91.46,8,31.39,27.79,1005.05,34.45,1.99,531.1,37.92,post_monsoon
FC_0000020,2023-03-17,WG,Western Ghats & West Coast,10.59,73.9,7,0.0,27.81,1006.74,46.67,8.24,605.1,10.45,fair_weather
FC_0000021,2022-01-21,SP,Southern Peninsula,15.73,79.67,1,9.67,31.15,1008.26,45.51,7.32,343.9,8.27,fair_weather
FC_0000022,2024-04-30,CI,Central India,25.04,78.6,6,0.0,37.35,996.29,17.33,7.02,668.1,23.86,heat_wave
FC_0000023,2023-08-14,NW,Northwest India,32.11,71.77,8,0.0,29.51,1010.28,46.53,2.61,2120.1,12.8,normal_monsoon
FC_0000024,2021-10-04,NE,East & Northeast India,21.66,89.81,6,20.94,23.78,1012.76,87.52,4.95,615.1,9.95,post_monsoon
FC_0000025,2024-03-30,CI,Central India,22.75,76.87,9,152.08,38.01,1013.73,72.14,1.59,1238.6,44.68,fair_weather
FC_0000026,2022-04-05,NE,East & Northeast India,28.21,86.81,10,11.69,28.23,1002.67,25.5,3.27,1449.2,14.43,pre_monsoon
FC_0000027,2024-08-30,WG,Western Ghats & West Coast,12.41,73.06,3,24.44,28.07,998.85,98.78,20.15,3392.8,7.09,heavy_rainfall
FC_0000028,2021-01-22,CI,Central India,21.24,74.4,6,0.0,28.74,1005.66,63.44,10.93,622.3,9.61,fair_weather
FC_0000029,2021-09-10,SP,Southern Peninsula,10.18,77.2,10,179.82,32.23,1014.28,25.78,5.03,3164.2,41.89,normal_monsoon
FC_0000030,2023-01-18,SP,Southern Peninsula,11.83,77.99,4,12.54,24.02,1006.74,84.96,5.58,195.1,6.81,fair_weather
FC_0000031,2023-05-07,EC,Bay of Bengal & East Coast,14.02,84.71,10,58.35,35.3,1003.81,32.17,0.5,1523.9,48.13,pre_monsoon
