valid_date,latitude,longitude,region_id,rain_observed,temp_observed,mslp_observed,rh_observed,wind_observed,cape_observed
2024-02-01,26.13,93.32,NE,1.54,32.16,1013.7,54.51,5.24,866.3
2024-12-30,29.06,68.29,NW,2.46,27.36,1008.18,49.32,6.52,397.9
2023-05-11,28.91,96.39,NE,2.86,28.18,1009.18,65.04,5.52,369.5
2024-07-18,36.34,77.44,NW,13.7,32.01,1009.83,40.48,3.3,742.4
2024-02-05,34.6,74.85,NW,5.63,8.81,1007.68,74.46,8.2,923.0
2024-01-01,24.76,80.01,CI,1.83,30.51,1011.55,62.64,6.15,928.5
2023-11-11,9.61,74.26,WG,8.51,30.63,1011.17,72.86,6.9,1101.8
2021-05-02,21.68,83.16,EC,145.55,28.03,984.85,95.4,46.85,3950.5
2022-04-12,35.28,68.93,NW,15.73,30.29,1008.97,60.81,4.36,776.3
2024-05-23,10.67,76.93,SP,3.67,26.88,1007.88,61.89,6.98,541.8
2021-11-27,8.62,73.04,WG,1.77,23.36,1012.8,42.22,6.09,1037.8
2021-03-29,13.12,87.54,EC,26.31,30.82,1013.11,44.72,4.74,495.3
2024-10-28,8.51,76.64,SP,6.08,26.14,1008.61,44.51,6.57,405.5
2024-01-29,21.09,93.35,NE,5.78,32.43,1012.88,68.85,6.22,931.8
2023-05-22,15.44,75.4,WG,3.63,30.69,1006.02,73.84,4.21,434.7
2021-05-11,11.0,76.15,SP,4.68,32.11,1008.48,72.61,7.28,710.2
2024-08-25,16.64,76.15,WG,28.8,28.78,1001.44,95.37,19.95,2029.0
2023-02-09,9.66,74.69,WG,2.0,27.5,1007.54,72.38,4.92,791.8
2021-12-10,23.11,87.02,NE,3.92,32.23,1008.59,43.39,5.99,1120.4
2024-12-08,27.24,91.46,NE,3.54,22.89,1011.98,43.52,3.39,484.0
2023-03-17,10.59,73.9,WG,2.85,23.44,1009.69,55.85,5.46,352.4
2022-01-21,15.73,79.67,SP,7.94,29.29,1007.24,47.94,4.4,674.6
2024-04-30,25.04,78.6,CI,0.12,44.61,998.44,20.81,8.68,558.3
2023-08-14,32.11,71.77,NW,1.28,26.03,1012.41,51.6,4.99,1125.4
2021-10-04,21.66,89.81,NE,10.42,28.72,1012.16,73.6,5.86,524.9
2024-03-30,22.75,76.87,CI,10.3,29.64,1014.71,61.62,7.11,939.6
